Method,1%,5%,10%,25%,100%
SAM2(frozen)+Linear (Ours),47.61±2.76,57.70±2.60,59.45±0.44,57.86±0.77,56.67±0.13
SAM2(frozen)+LoRA+FPN (Ours),54.68±6.07,68.94±0.76,72.36±0.51,72.73±0.66,76.05±0.89
U-Net,22.34±2.54,56.95±2.75,62.35±3.25,69.22±0.71,74.20±0.68
U-Net (ImageNet),35.99±5.08,61.97±1.39,66.99±1.30,71.25±0.90,75.59±0.15
DeepLabV3+,17.90±5.58,53.04±3.42,57.57±3.01,66.57±0.59,74.07±0.37
PSPNet,23.65±5.95,55.24±2.10,60.57±0.94,66.15±0.33,73.44±0.48
SegFormer,24.18±2.67,48.35±1.51,57.24±2.56,65.74±0.51,74.28±0.39
DDSNet* (UNet-R50+BndLoss),23.87±6.60,58.30±2.23,61.43±5.01,68.46±0.44,73.32±0.25
MFF-Metal* (UNet++-R34+MultiLoss),26.69±2.38,57.65±0.60,65.28±1.74,70.09±1.31,74.58±0.20
SME-DLV3+* (DLV3+-R50),27.84±0.38,52.89±2.34,59.49±1.30,66.49±0.81,74.05±0.58
Hybrid-Trans* (UPerNet-MiT-B4),23.24±5.62,51.05±0.94,56.02±3.93,66.71±1.99,73.71±1.14
