Method,1%,5%,10%,25%,100%
SAM2(frozen)+Linear (Ours),8.01±3.70,13.35±1.01,12.92±0.46,13.41±0.37,11.70±0.34
SAM2(frozen)+LoRA+FPN (Ours),10.81±4.75,23.18±2.08,26.12±0.20,33.67±1.28,41.61±2.06
U-Net,0.93±0.53,7.72±1.28,11.44±0.47,14.03±1.94,21.16±1.75
U-Net (ImageNet),3.07±2.38,10.74±0.27,15.10±1.01,18.53±0.79,28.29±2.30
DeepLabV3+,0.16±0.10,8.41±0.82,10.73±0.41,14.23±0.66,25.23±0.77
PSPNet,0.01±0.02,8.10±1.16,10.14±0.94,14.82±0.86,21.40±1.20
SegFormer,0.91±0.71,1.99±0.76,6.60±0.37,5.38±4.70,16.66±1.05
DDSNet* (UNet-R50+BndLoss),0.99±0.66,8.55±1.54,11.44±1.23,14.93±1.10,18.82±0.58
MFF-Metal* (UNet++-R34+MultiLoss),0.58±0.57,8.52±0.30,10.47±1.34,15.03±0.57,18.22±0.20
SME-DLV3+* (DLV3+-R50),1.52±2.22,8.24±0.65,10.79±2.93,16.57±0.55,18.95±0.25
Hybrid-Trans* (UPerNet-MiT-B4),0.23±0.33,6.20±0.79,7.88±0.62,9.20±1.22,14.05±0.55
