Method,background,class1,class2,class3,class4,mIoU
SAM2(frozen)+LoRA+FPN (Ours),99.52,29.47,18.26,57.59,61.13,53.19
U-Net,99.20,7.71,7.25,35.69,33.97,36.76
U-Net (ImageNet),99.29,18.83,7.05,42.08,45.19,42.49
DeepLabV3+,99.23,11.92,12.91,38.04,38.07,40.03
PSPNet,99.15,11.36,8.40,33.99,31.85,36.95
SegFormer,99.07,4.14,8.15,26.86,27.49,33.14
DDSNet* (UNet-R50+BndLoss),99.24,0.00,0.00,38.56,36.72,34.90
MFF-Metal* (UNet++-R34+MultiLoss),99.26,0.00,0.00,38.18,34.72,34.43
SME-DLV3+* (DLV3+-R50),99.26,0.00,0.00,38.55,37.26,35.01
Hybrid-Trans* (UPerNet-MiT-B4),99.20,0.00,0.00,31.13,25.07,31.08
