Method (vs SAM2+LoRA),1%,5%,10%,25%,100%
SAM2(frozen)+Linear (Ours),+2.8 (ns),+9.8 (**),+13.2 (***),+20.3 (***),+29.9 (***)
U-Net,+9.9 (*),+15.5 (***),+14.7 (***),+19.6 (***),+20.5 (***)
U-Net (ImageNet),+7.7 (ns),+12.4 (***),+11.0 (***),+15.1 (***),+13.3 (**)
DeepLabV3+,+10.7 (*),+14.8 (***),+15.4 (***),+19.4 (***),+16.4 (***)
PSPNet,+10.8 (*),+15.1 (***),+16.0 (***),+18.9 (***),+20.2 (***)
SegFormer,+9.9 (*),+21.2 (***),+19.5 (***),+28.3 (***),+25.0 (***)
DDSNet* (UNet-R50+BndLoss),+9.8 (*),+14.6 (***),+14.7 (***),+18.7 (***),+22.8 (***)
MFF-Metal* (UNet++-R34+MultiLoss),+10.2 (*),+14.7 (***),+15.6 (***),+18.6 (***),+23.4 (***)
SME-DLV3+* (DLV3+-R50),+9.3 (*),+14.9 (***),+15.3 (***),+17.1 (***),+22.7 (***)
Hybrid-Trans* (UPerNet-MiT-B4),+10.6 (*),+17.0 (***),+18.2 (***),+24.5 (***),+27.6 (***)
